('LIMITED\n', -0.038966541042480519)
('PROPERTIES', -0.031181869839704397)
('LIMITED.I.C.\n', -0.021207495421714236)
('BLUEBERRY', 0.019444715954032972)
('PROPERTY', -0.016542466870480881)
('CROWTON', 0.016196902104771531)
('LTD\n', -0.01498618430955858)
('EMPLOYMENT', -0.011458386277106125)
('SERVICES', -0.010271358062729958)
('BODZIO', 0.0098666333853073829)
('HEADQUARTERS\n', 0.0090403960918041294)
('SOLUTIONS', -0.008733985805611192)
('ORTHODONTICS', 0.0084268306643239498)
('GOURMET', 0.0084091386034661313)
('W', 0.0072513011693246488)
('BLINK', -0.0063042150644018625)
('MANPOWER', 0.0061404765338619535)
('M', -0.0061105905692014116)
('FALCON', 0.0059429385545168353)
('LIGHTINTHEBOX', -0.0057574723143704659)
('DADDIES', 0.0057247761545900933)
('CYSEC', 0.0056862247007185215)
('CLIVE', 0.005615688545636625)
('CRADDOCK', 0.0054650837838542835)
('RATED', 0.0054632675156074915)
('RECLAIM', 0.0053957598614616433)
('ALAMORT', -0.0053824288153984942)
('BADER', -0.0052525056588528388)
('BSEC', -0.0051618884154790903)
('BURUNGA', 0.0050569254738752119)
('CARDPRIZE', -0.0050503937125599254)
('LEWISHAM', 0.0050482468577590991)
('AZAR', -0.0050453043346471412)
('CREATIVE', 0.0050152026814437017)
('ARTSPACESLTD\n', -0.0050021233146677743)
('VISION', -0.0049933352058639238)
('TWO', 0.0049054225926832284)
('CONTRACTOR', 0.0048614966321854055)
('BABBACOMBE', 0.0048408878831065422)
('78', -0.0047936726581764809)
('DOBINSON', -0.0047863399961352261)
('COCHRANE', -0.0046156632244141061)
('M.', 0.0045992912525731258)
('MANAGEMENT', -0.0045623994684527115)
('CELTIC', 0.0044715951904928195)
('BUSINESS', 0.0044323319845394763)
('GIFTS', -0.0043886450964271137)
('JOE', 0.0043851090003485388)
('ALAIN', 0.0042507783864867256)
('BUCKLEFIELDS', 0.0042424208692491729)
('&', 0.0042262678584352288)
('COST', -0.0042018466174207555)
('EQUITY', -0.0041608515450178097)
('CHARLES', -0.004155877787340263)
('APJ', -0.0041256686270256309)
('COMMUNITY', 0.0041065752703588355)
('TRANS', 0.0040922786384688598)
('ANTHONY', 0.0040849422183258481)
('CDCE', -0.0040774060866159353)
('K', 0.0040402321022226196)
('VERONICA', 0.0040379758565585785)
('(UK)', -0.0040091755546123459)
('LTD.\n', -0.0039633932994707832)
('PLUMBING', -0.0039451849134280095)
('LIVING', -0.003806910458965022)
('ACER', -0.0038056215187154091)
('AGCAS', 0.0037711628324367721)
('AP', -0.0037656004606329107)
('NATIONAL', -0.0037259260127250945)
('CONTRACTING', -0.003723275485364312)
('AHL', 0.0037136462846136639)
('VEHICLE', -0.0036950023043640264)
('CROSSFIELDS', -0.003678951901309038)
('DARWIN', 0.0035989475674998053)
('BUTTERFLY', 0.0035747479366186902)
('ANDREI', -0.0035633998161764499)
('BRUNSWICK', 0.0035393424176218789)
('INC\n', -0.0035386799408542004)
('DESIGN', -0.0035258247767367482)
('ADRIAN', -0.0034910751330073245)
('JOINT', -0.0033299741656535368)
('COMPUTERS', -0.0033280951674484745)
('BURGERS', 0.0032355664381375029)
('SPICE', 0.0032192128686551048)
('MITSUBISHI', -0.0032095516492192415)
('WINGS', -0.0031914800764238074)
('(CHEAM)', -0.0031659289581338784)
('HOLDINGS', 0.0031546988407470948)
('DEVELOPMENTS', -0.003099279611516857)
('LTD"\n', -0.0030133980163069723)
('PLUMBING,', -0.0029673135920587883)
('PRODUCTIONS', 0.0029608591284705612)
('CRAGFIT', 0.0028531097625798486)
('LIMITED6)LIMITED\n', -0.0028367178041788692)
('DIAMOND', 0.0028086700787545503)
('CARLIN', 0.0028064095502764196)
('CAROLINE', -0.0027454685943105023)
('DEVELOPING', -0.0027170961750134209)
('PROCESSING', -0.0022068441238583211)
('EVENTS', -0.0021445258529663043)
